,V1,V2,V3,V4,V5
results,Number of top features,Iteration,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train
,1,1,0.7486,0.675,0.7049
,1,2,0.7428,0.6833,0.6967
,1,3,0.7453,0.6833,0.6967
,1,4,0.7436,0.6833,0.6967
,1,5,0.7482,0.675,0.7049
,1,6,0.7449,0.675,0.7049
,1,7,0.7455,0.675,0.7049
,1,8,0.7491,0.675,0.6967
,1,9,0.7449,0.675,0.6885
,1,10,0.7474,0.675,0.6885
,2,1,0.7754,0.7,0.7377
,2,2,0.7853,0.6917,0.7377
,2,3,0.7792,0.6917,0.7295
,2,4,0.7793,0.6917,0.7377
,2,5,0.7737,0.6917,0.7377
,2,6,0.7789,0.6917,0.7377
,2,7,0.7849,0.7,0.7377
,2,8,0.7821,0.6917,0.7377
,2,9,0.7829,0.7,0.7377
,2,10,0.7744,0.6917,0.7377
,3,1,0.8492,0.8167,0.8033
,3,2,0.8504,0.8167,0.8197
,3,3,0.8488,0.8167,0.8115
,3,4,0.8502,0.7833,0.7951
,3,5,0.8536,0.8,0.8115
,3,6,0.8511,0.8,0.8115
,3,7,0.8476,0.7917,0.8197
,3,8,0.8534,0.7917,0.8115
,3,9,0.8492,0.7917,0.8197
,3,10,0.8479,0.7917,0.8115
,4,1,0.874,0.825,0.8525
,4,2,0.8733,0.8333,0.8443
,4,3,0.8706,0.825,0.8689
,4,4,0.8727,0.825,0.8525
,4,5,0.8678,0.8333,0.8443
,4,6,0.8678,0.825,0.8361
,4,7,0.8736,0.825,0.8443
,4,8,0.87,0.8333,0.8443
,4,9,0.8728,0.8333,0.8361
,4,10,0.8766,0.825,0.8525
,5,1,0.8844,0.8083,0.8361
,5,2,0.8864,0.8,0.8443
,5,3,0.8822,0.8083,0.8279
,5,4,0.8791,0.8083,0.8279
,5,5,0.8829,0.8167,0.8361
,5,6,0.8842,0.8,0.8607
,5,7,0.8807,0.8083,0.8279
,5,8,0.8783,0.8,0.8607
,5,9,0.8783,0.8,0.8607
,5,10,0.883,0.8167,0.8525
,6,1,0.8943,0.825,0.8443
,6,2,0.8943,0.825,0.8443
,6,3,0.8943,0.825,0.8443
,6,4,0.8943,0.825,0.8443
,6,5,0.8943,0.825,0.8443
,6,6,0.8943,0.825,0.8443
,6,7,0.8943,0.825,0.8443
,6,8,0.8963,0.8333,0.8279
,6,9,0.8963,0.8333,0.8279
,6,10,0.8963,0.8333,0.8279
,7,1,0.8861,0.8,0.8033
,7,2,0.8861,0.8,0.8033
,7,3,0.8867,0.825,0.8197
,7,4,0.8867,0.8167,0.8197
,7,5,0.8867,0.8167,0.8197
,7,6,0.8867,0.825,0.8197
,7,7,0.8867,0.8167,0.8197
,7,8,0.8867,0.825,0.8197
,7,9,0.8867,0.825,0.8197
,7,10,0.8867,0.825,0.8197
,8,1,0.8949,0.8333,0.8279
,8,2,0.8913,0.8167,0.8443
,8,3,0.8913,0.8167,0.8443
,8,4,0.901,0.8417,0.8197
,8,5,0.8917,0.8583,0.8115
,8,6,0.8917,0.8583,0.8115
,8,7,0.8917,0.8583,0.8115
,8,8,0.8917,0.8583,0.8115
,8,9,0.8917,0.8583,0.8115
,8,10,0.8917,0.8583,0.8197
,9,1,0.8984,0.825,0.8033
,9,2,0.8984,0.825,0.8033
,9,3,0.8933,0.8333,0.8115
,9,4,0.9001,0.8333,0.8115
,9,5,0.9008,0.825,0.8279
,9,6,0.9008,0.825,0.8279
,9,7,0.9008,0.825,0.8279
,9,8,0.9008,0.825,0.8279
,9,9,0.9008,0.825,0.8279
,9,10,0.9008,0.825,0.8279
,10,1,0.8945,0.8333,0.8197
,10,2,0.8945,0.8333,0.8197
,10,3,0.8977,0.8417,0.8197
,10,4,0.8977,0.8417,0.8197
,10,5,0.8977,0.8417,0.8197
,10,6,0.8977,0.8417,0.8197
,10,7,0.8977,0.8417,0.8197
,10,8,0.8977,0.8417,0.8197
,10,9,0.8977,0.8417,0.8197
,10,10,0.8977,0.8417,0.8197
,11,1,0.8892,0.8167,0.8443
,11,2,0.8958,0.8333,0.8361
,11,3,0.8931,0.8167,0.8279
,11,4,0.8937,0.825,0.8525
,11,5,0.8924,0.85,0.8279
,11,6,0.8938,0.85,0.8361
,11,7,0.8983,0.8333,0.8115
,11,8,0.895,0.825,0.8279
,11,9,0.8931,0.8417,0.8279
,11,10,0.8871,0.825,0.8279
,12,1,0.896,0.8167,0.8443
,12,2,0.8887,0.8417,0.8115
,12,3,0.8932,0.825,0.8115
,12,4,0.893,0.8333,0.8361
,12,5,0.8882,0.8333,0.8361
,12,6,0.895,0.85,0.8361
,12,7,0.897,0.8333,0.8279
,12,8,0.8898,0.8333,0.8279
,12,9,0.8943,0.8417,0.8197
,12,10,0.8953,0.8333,0.8197
,13,1,0.8975,0.825,0.8361
,13,2,0.9033,0.8417,0.8361
,13,3,0.9018,0.825,0.8279
,13,4,0.8982,0.8417,0.8115
,13,5,0.8991,0.8417,0.8197
,13,6,0.9026,0.85,0.8197
,13,7,0.9013,0.825,0.8361
,13,8,0.9063,0.8417,0.8115
,13,9,0.9021,0.8333,0.8197
,13,10,0.8997,0.85,0.8197
,14,1,0.9033,0.8333,0.8361
,14,2,0.9018,0.8333,0.8279
,14,3,0.9029,0.8333,0.8361
,14,4,0.9025,0.8417,0.8443
,14,5,0.9031,0.8333,0.8279
,14,6,0.902,0.8417,0.8525
,14,7,0.898,0.8417,0.8033
,14,8,0.9018,0.8417,0.8197
,14,9,0.9042,0.8583,0.8361
,14,10,0.9027,0.8333,0.8443
,15,1,0.9035,0.8417,0.8197
,15,2,0.9068,0.8417,0.8525
