,V1,V2,V3,V4,V5,V6,V7,V8
results,Fold,Number of top features,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train,AUC_test,Accuracy_bacterial_test,Accuracy_viral_test
,1,1,0.7999706,0.7029703,0.7128713,0.713859,0.7419355,0.4814815
,1,2,0.8205568,0.7128713,0.7227723,0.7562724,0.8064516,0.5185185
,1,3,0.8714832,0.8217822,0.8019802,0.8160096,0.8064516,0.6666667
,1,4,0.8768748,0.8316832,0.7920792,0.8578256,0.7741935,0.7407407
,1,5,0.8821684,0.8316832,0.8217822,0.8626046,0.7741935,0.7777778
,1,6,0.8800117,0.8415841,0.7920792,0.8757467,0.8064516,0.7777778
,1,7,0.8909911,0.8217822,0.8118812,0.8733572,0.7741935,0.8518519
,1,8,0.887364,0.8217822,0.8118812,0.8924731,0.8064516,0.8148148
,1,9,0.8933438,0.8514851,0.7623762,0.8841099,0.8387097,0.8148148
,1,10,0.8912361,0.8316832,0.7920792,0.8829152,0.8064516,0.8888889
,1,11,0.8890305,0.8415841,0.8019802,0.8888889,0.8064516,0.8888889
,1,12,0.8875601,0.8316832,0.8118812,0.9032258,0.8387097,0.8518519
,1,13,0.8880012,0.8415841,0.7920792,0.8972521,0.8064516,0.8518519
,1,14,0.8893246,0.8415841,0.8118812,0.8948626,0.8387097,0.7777778
,1,15,0.8921674,0.8316832,0.8217822,0.8924731,0.7741935,0.8518519
,1,16,0.8945202,0.8514851,0.8217822,0.8996416,0.8064516,0.8518519
,1,17,0.9009901,0.8316832,0.8217822,0.8966547,0.8064516,0.8518519
,1,18,0.8945202,0.8316832,0.8415841,0.8960574,0.8387097,0.8518519
,1,19,0.8957455,0.8415841,0.8415841,0.8853046,0.7741935,0.8518519
,1,20,0.8896187,0.8316832,0.8217822,0.8936679,0.8064516,0.8518519
,1,21,0.8911871,0.8316832,0.8217822,0.9008363,0.7741935,0.8888889
,1,22,0.8956965,0.8316832,0.8316832,0.9008363,0.8064516,0.8518519
,1,23,0.8958926,0.8217822,0.8514851,0.8960574,0.8064516,0.8148148
,1,24,0.8957945,0.8415841,0.8613861,0.8984469,0.8064516,0.8888889
,1,25,0.8926576,0.8415841,0.8316832,0.8972521,0.8064516,0.8888889
,1,26,0.8946182,0.8217822,0.8316832,0.9008363,0.7741935,0.8518519
,1,27,0.897363,0.8316832,0.8118812,0.9103943,0.7741935,0.8518519
,1,28,0.8949613,0.8118812,0.8415841,0.8972521,0.8064516,0.8888889
,1,29,0.8919713,0.8217822,0.8316832,0.9038232,0.8064516,0.8518519
,1,30,0.8924125,0.8019802,0.8514851,0.8984469,0.8064516,0.8518519
,1,31,0.8889325,0.8415841,0.8415841,0.9020311,0.7741935,0.8518519
,1,32,0.8899127,0.8217822,0.8514851,0.8960574,0.8064516,0.8888889
,1,33,0.8913832,0.8217822,0.8316832,0.8996416,0.7741935,0.8518519
,1,34,0.8910891,0.8019802,0.8316832,0.9032258,0.7741935,0.8518519
,1,35,0.8986374,0.8217822,0.8316832,0.9020311,0.8064516,0.8888889
,1,36,0.8851093,0.8118812,0.8514851,0.8984469,0.8064516,0.8888889
,2,1,0.7458419,0.6851852,0.6851852,0.7875,0.625,0.6571429
,2,2,0.8146005,0.7407407,0.787037,0.8428571,0.75,0.8
,2,3,0.8515946,0.7962963,0.787037,0.8119048,0.6666667,0.8571429
,2,4,0.8700274,0.8148148,0.8148148,0.8571429,0.75,0.8
,2,5,0.8653121,0.7962963,0.8425926,0.9005952,0.75,0.8
,2,6,0.8834876,0.8148148,0.7777778,0.8940476,0.75,0.8857143
,2,7,0.8764575,0.8425926,0.7777778,0.9035714,0.75,0.8285714
,2,8,0.8965192,0.8425926,0.7962963,0.9011905,0.75,0.8
,2,9,0.8937757,0.8425926,0.7777778,0.8904762,0.75,0.8285714
,2,10,0.8985339,0.8425926,0.7962963,0.9,0.75,0.8
,2,11,0.9013203,0.8518519,0.8055556,0.8988096,0.75,0.8571429
,2,12,0.9131302,0.8611111,0.8148148,0.9035714,0.75,0.8285714
,2,13,0.9090792,0.8518519,0.8055556,0.9130952,0.75,0.8285714
,2,14,0.9095507,0.8518519,0.8333333,0.9166667,0.75,0.8285714
,2,15,0.9061214,0.8333333,0.7962963,0.9107143,0.75,0.8
