,sort,all,bacterial,viral
CRP..mg.l._merged,1,0.05205484,0.038701874,0.064969627
Age.Group,2,0.019531567,0.015609935,0.023253421
ANC_MAX,3,0.016003348,0.011949675,0.019754642
X.ray.signs.Consolidation,4,0.014762758,0.008881515,0.020292916
Weight..kg.,5,0.009178727,0.00592101,0.012218811
Pulse,6,0.008378185,0.008935342,0.007804968
Nasopharyngeal.Culture.PCR,7,0.007707107,0.005651873,0.009473616
Albumin..g.l.,8,0.003855133,0.004360016,0.003337297
Streptococcus,9,0.003818445,0.002691368,0.004736808
Dolosigranulum,10,0.002483579,0.003229642,0.001722476
Staphylococcus,11,0.002403512,-0.000915065,0.005544218
Blood.Culture.Result,12,0.002278606,0.000161482,0.004413844
Chronic.Hypertension,13,0.002224331,-0.001076547,0.005436564
X.ray.Result.RLL.Pneumonia,14,0.002043339,-0.000269137,0.004252362
Anaerococcus,15,0.001853221,0.001345684,0.002476059
X.ray.Result.Normal,16,0.001803241,0.000538274,0.002906678
Urine.Stick,17,0.001802031,0.000430619,0.003229642
Rhinorrhea,18,0.001691025,0.001238029,0.001937785
pH..capillary.,19,0.001516373,0.005328909,-0.002422231
Urea..mmol.L.,20,0.001450668,0.004360016,-0.001507166
Decreased.breath.sounds,21,0.001177101,-0.000915065,0.003175814
X.ray.Result.LLL.Pneumonia,22,0.000845714,-0.000161482,0.001776303
Chronic.COPD,23,0.000601178,-0.00080741,0.001937785
Moraxella,24,0.000600127,0.000861238,0.000322964
X.ray.signs.Pleural.effusion,25,0.000486985,-0.000645928,0.001560994
Corynebacterium_1,26,0.000478699,-0.000107655,0.001076547
Chronic.DM2,27,0.000421754,-0.000861238,0.001614821
CT_finding.Consolidation,28,0.000237761,-0.00080741,0.001238029
Routine.medication.Simvastatin,29,0.000206873,-0.001238029,0.001560994
Chronic.Malignancy,30,0.000165497,-0.000699756,0.000968893
Routine.medication.Pantoprazole,31,0.000154145,-0.000645928,0.000915065
Chronic.Hypercholesterolemia,32,0.000131663,-0.00080741,0.00102272
Routine.medication.Tiotropium.bromide,33,4.66E-05,-0.00102272,0.001076547
Haemophilus,34,5.84E-06,-0.00183013,0.001883958
Main.Complaint.Chills,35,-0.000102559,-0.000968893,0.000699756
AMY..u.l.,36,-0.001126094,0.000269137,-0.002206922
